movieId,title_cast,director,runtime,budget,plot_keywords
235,Johnny Depp|Martin Landau|Sarah Jessica Parker|Patricia Arquette|Jeffrey Jones|G.D. Spradlin|Vincent D'Onofrio|Bill Murray|Mike Starr|Max Casella|Brent Hinkley|Lisa Marie|George 'The Animal' Steele|Juliet Landau|Clive Rosengren,Tim Burton,127,"$18,000,000",director|film director|misfit|friend
236,Meg Ryan|Kevin Kline|Timothy Hutton|Jean Reno|François Cluzet|Suzan Anbeh|Renée Humphrey|Michael Riley|Laurent Spielvogel|Victor Garrivier|Élisabeth Commelin|Julie Leibowitch|Miquel Brown|Louise Deschamps|Olivier Curdy,Adam Brooks,111,NA,breakup|plant cutting|frenchman|blonde
237,Billy Crystal|Debra Winger|Joe Mantegna|Cynthia Stevenson|Richard Masur|Julie Kavner|William Hickey|Robert Costanzo|John Spencer|Tom Wright|Cathy Moriarty|Johnny Williams|Marv Albert|Bill Walton|Charles Barkley,Billy Crystal,101,NA,love|basketball|city name in title|american abroad
238,Mimi Rogers|Bruce Davison|Jesse Bradford|Tom Bower|Joel Palmer|Dakotah|Josh Wannamaker|Margot Finley|Matthew Bennett|St. Clair McColl|Jennifer Weissenborn|Gordon Neave|Karen Kruper|Dean Lockwood|John LeClair,Phillip Borsos,81,NA,labrador retriever|dog|survival|stray dog
239,Bill Farmer|Jason Marsden|Jim Cummings|Kellie Martin|Rob Paulsen|Wallace Shawn|Jenna von Oÿ|Frank Welker|Kevin Lima|Florence Stanley|Jo Anne Worley|Brittany Alyse Smith|Robyn Richards|Julie Brown|Klee Bragger,Jymn Magon,78,"$18,000,000",father son relationship|older actors younger roles|travel|singing in a vehicle
240,Jeff Goldblum|Christine Lahti|Alicia Silverstone|Jeremy Sisto|Alfred Molina|Rae Dawn Chong|Kenneth Welsh|Suzy Joachim|Shirley Broderick|Tom McBeath|Joely Collins|Roger Cross|Michael McDonald|Don S. Davis|Rebecca Toolan,Dean R. Koontz,106,"$15,000,000",car accident|serial killer|psychopath|suicide
241,Samuel L. Jackson|Matthew Modine|Nancy Travis|Eric Stoltz|Max Pomeranc|Ron Perlman|Jon Polito|Bill Cobbs|Collin Wilcox Paxton|Federico Pacifici|Clarinda Ross|Adrian Roberts|Bart Hansard|Deborah Hobart|Libby Whittemore,James Herbert,96,"$15,000,000",cartoon on tv|close up of eye|united states|usa
242,Stefano Dionisi|Enrico Lo Verso|Elsa Zylberstein|Caroline Cellier|Marianne Basler|Jacques Boudet|Graham Valentine|Pier Paolo Capponi|Renaud du Peloux de Saint Romain|Delphine Zentout|Omero Antonutti|Jeroen Krabbé|Richard Reeves|Jonathan Fox|Jo Betzing,Andrée Corbiau,111,NA,bare chested male|male protagonist|secret|brother castrates brother
243,Doug Stone|Kristy Young|James Donadio|Deborah Hobart|Tom Lester|Michael Roescher|Tom Key|Jon Kohler|Afemo Omilami|Ted Manson|Louis Rukeyser|Dennis Letts|Toshio Ogawa|Kyle Weir|Sandra Dorsey,Jay Sommers,NA,NA,falling into a swimming pool|boy|girl|farm
244,Dal McKennon|Art Clokey|Gloria Clokey|Manny La Carruba|Alice Young|Janet MacDuff|Patti Morse|Bonnie Rudolph|David Ozzie Ahlers|David Archer|Lillian Nicol|Rick Warren,Art Clokey,90,"$2,800,000",cult film|dog|1950s|claymation
245,Erich Anderson|Richard Anderson|Thomas Babson|Monty Bane|Ernie Lee Banks|Michael Boatman|Jean Hubbard-Boone|James Boyce|Gaye Shannon-Burnett|Bernie Casey|Linden Chiles|Janet Claire|Victor Contreras|Wanda De Jesus|Bill Dearth,Charles Burnett,109,"$5,000,000",police corruption|rookie|sheriff|murder
246,William Gates|Arthur Agee|Emma Gates|Curtis Gates|Sheila Agee|Arthur 'Bo' Agee|Earl Smith|Gene Pingatore|Isiah Thomas|Marlyn Hopewell|Bill Gleason|Patricia Weir|Marjorie Heard|Luther Bedford|Aretha Mitchell,Steve James,170,"$700,000",basketball|athlete|national film registry|high school
247,Melanie Lynskey|Kate Winslet|Sarah Peirse|Diana Kent|Clive Merrison|Simon O'Connor|Jed Brophy|Peter Elliott|Gilbert Goldie|Geoffrey Heath|Kirsti Ferry|Ben Skjellerup|Darien Takle|Elizabeth Moody|Liz Mullane,Fran Walsh,99,"$5,000,000",fantasy life|orgy|sex with a minor|teenage crush
248,Sinbad|Phil Hartman|Kim Greist|Kim Murphy|Chauncey Leopardi|Talia Seider|Paul Ben-Victor|Tony Longo|Jeffrey Jones|Stan Shaw|Ron Glass|Kevin Jordan|Mason Adams|Patricia Fraser|Don Brockett,Michael J. Di Gaetano,113,"$10,500,000",cartoon on tv|suburb|debt|houseguest
249,Gary Oldman|Jeroen Krabbé|Isabella Rossellini|Johanna ter Steege|Marco Hofschneider|Miriam Margolyes|Barry Humphries|Valeria Golino|Gerard Horan|Christopher Fulford|Alexandra Pigg|Luigi Diberti|Michael Culkin|Donal Gibson|Matthew North,Bernard Rose,121,NA,based on real person|man|ludwig van beethoven|death
250,David Goldman|Joseph Wayne Miller|Cody Burger|Allen Covert|Tim Blake Nelson|Nancy Ringham|Seth St. Laurent|Bobby Fain|Tom McGowan|Aaron Schwartz|Shaun Weiss|Tom Hodges|Leah Lail|Paul Feig|Kenan Thompson,Judd Apatow,100,NA,fat camp|summer camp|mother son relationship|father son relationship
251,Christopher Lambert|John Lone|Joan Chen|Yoshio Harada|Yôko Shimada|Mari Natsuki|Tak Kubota|Masumi Okada|Tatsuya Irie|Michael Warren|Bart Anderson|James Saito|Seth Sakai|Toshishiro Obata|Ken Kensei,J.F. Lawton,NA,"$25,000,000",ninja|samurai|assassin|bullet train
252,Tim Robbins|Meg Ryan|Walter Matthau|Lou Jacobi|Gene Saks|Joseph Maher|Stephen Fry|Tony Shalhoub|Frank Whaley|Charles Durning|Keene Curtis|Alice Playten|Danny Zorn|Helen Hanft|Roger Berlind,Andy Breckman,100,"$25,000,000",genius|mechanic|laboratory animal|man wears eyeglasses
253,Brad Pitt|Christian Slater|Virginia McCollam|John McConnell|Tom Cruise|Mike Seelig|Bellina Logan|Thandie Newton|Lyla Hay Owen|Lee E. Scharfstein|Indra Ové|Helen McCrory|Monte Montague|Kirsten Dunst|Nathalie Bloch-Lainé,Anne Rice,123,"$60,000,000",vampire|gothic|betrayal|dark hero
254,Nick Nolte|Gwyneth Paltrow|Estelle Eonnet|Thandie Newton|Seth Gilliam|Todd Boyce|Nigel Whitmey|Nicolas Silberg|Catherine Samie|Lionel Robert|Stanislas Carré de Malberg|Jean Rupert|Yvette Petit|Paolo Mantini|Frédéric van den Driessche,James Ivory,139,"$14,000,000",lafayette character|thomas jefferson character|period drama|marie antoinette character
255,John G. Brennan|Kamal Ahmed|Alan Arkin|William Hickey|Alan North|Brad Sullivan|James Lorinz|Suzanne Shepherd|Vincent Pastore|Brian Tarantina|Peter Appel|Darryl Theirse|David Pittu|Frank Senger|Michael Louis Wells,James Melkonian,NA,"$7,000,000",gay slur|telephone|police|mafia
256,Arnold Schwarzenegger|Danny DeVito|Emma Thompson|Frank Langella|Pamela Reed|Aida Turturro|James Eckhouse|Megan Cavanagh|Welker White|Kathleen Chalfant|Merle Kennedy|Judy Collins|Mindy Seeger|Christopher Meloni|Antoinette Peragine,Kevin Wade,109,"$60,000,000",nightmare|man wears eyeglasses|scientist|baby
257,Sean Connery|Laurence Fishburne|Kate Capshaw|Blair Underwood|Ed Harris|Christopher Murray|Ruby Dee|Scarlett Johansson|Daniel J. Travanti|Ned Beatty|Liz Torres|Lynne Thigpen|Taral Hicks|Victor Slezak|Kevin McCarthy,John Katzenbach,102,NA,child gagged|murder|florida|prison interview
258,Thomas Ian Nicholas|Joss Ackland|Art Malik|Paloma Baeza|Kate Winslet|Daniel Craig|David Tysall|Ron Moody|Barry Stanton|Michael Mehlmann|Melanie Oettinger|Rebecca Denton|Michael Kelly|Louise Rosner|Paul Rosner,Michael Part,89,"$15,000,000",sword and sandal|sword and sorcery|kicked in the groin|comic violence
259,David Caruso|Samuel L. Jackson|Nicolas Cage|Helen Hunt|Kathryn Erbe|Stanley Tucci|Michael Rapaport|Ving Rhames|Philip Baker Hall|Anthony Heald|Angel David|John Costelloe|Lindsay J. Wrinn|Megan L. Wrinn|Katie Sagona,Eleazar Lipsky,101,"$40,000,000",neo noir|detective|arrest|death of wife
260,NA,NA,NA,NA,NA
261,Winona Ryder|Gabriel Byrne|Trini Alvarado|Samantha Mathis|Kirsten Dunst|Claire Danes|Christian Bale|Eric Stoltz|John Neville|Mary Wickes|Susan Sarandon|Florence Paterson|Robin Collins|Corrie Clark|Rebecca Toolan,Louisa May Alcott,115,"$18,000,000",american civil war|f rated|female protagonist|reference to william shakespeare
262,Liesel Matthews|Eleanor Bron|Liam Cunningham|Rusty Schwimmer|Arthur Malet|Vanessa Chester|Errol Sitahal|Heather DeLoach|Taylor Fry|Darcie Bradford|Rachael Bella|Alexandra Rea-Baum|Camilla Belle|Lauren Blumenfeld|Kelsey Mulrooney,Frances Hodgson Burnett,97,"$17,000,000",india|father daughter relationship|orphan|based on novel
263,Crissy Rock|Vladimir Vega|Sandie Lavelle|Mauricio Venegas|Ray Winstone|Clare Perkins|Jason Stracey|Luke Brown|Lily Farrell|Scottie Moore|Linda O'Grady|Kim Hartley|Jimmy Batten|Sue Sawyer|Pamela Hunt,Ken Loach,101,"$38,976,598",children|social service|violence|unfit mother
264,Emmanuelle Béart|François Cluzet|Nathalie Cardone|André Wilms|Marc Lavoine|Christiane Minazzoli|Dora Doll|Mario David|Jean-Pierre Cassel|Sophie Artur|Thomas Chabrol|Noël Simsolo|Yves Verhoeven|Amaya Antolin|Jean-Claude Barbier,Claude Chabrol,102,NA,jealousy|adultery|madness|hotel
265,Marco Leonardi|Lumi Cavazos|Regina Torné|Mario Iván Martínez|Ada Carrasco|Yareli Arizmendi|Claudette Maillé|Pilar Aranda|Farnesio de Bernal|Joaquín Garrido|Rodolfo Arias|Margarita Isabel|Sandra Arau|Andrés García Jr.|Regino Herrera,Laura Esquivel,105,"$2,000,000",mexico|food|marriage|love
266,Brad Pitt|Anthony Hopkins|Aidan Quinn|Julia Ormond|Henry Thomas|Karina Lombard|Tantoo Cardinal|Gordon Tootoosis|Paul Desmond|Christina Pickles|Robert Wisden|John Novak|Kenneth Welsh|Bill Dow|Sam Sarkar,Susan Shilliday,133,"$30,000,000",f word|no opening credits|violence|sex scene
267,Damon Wayans|Michael Ironside|Bam Bam Bigelow|Joseph Blaire|Orlando Brown|Peyton Chesson-Fohl|Stephen Coleman|Mark Conway|David DeHart|Joshua Todd Diveley|Robert Faraoni Jr.|Michael Gabel|Albert Hall|William Hickey|Ross Bickell,Joe Connelly,NA,NA,drill instructor|german shepherd dog|character name as title|army major
268,Tim Roth|Edward Furlong|Moira Kelly|Vanessa Redgrave|Paul Guilfoyle|Natalya Andreychenko|Maximilian Schell|David Vadim|Mina Bern|Boris McGiver|Mohammed Ghaffari|Michael Khmurov|Dmitry Preyers|David Ross|Ron Brice,James Gray,98,"$2,300,000",ill mother|face slap|assassin|russian mafia
269,Angel Aviles|Seidy Lopez|Jacob Vargas|Devine|Monica Lutton|Christina Solis|Panchito Gómez|Verónica Arellano|Arthur Esquer|Gabriel Gonzales|Ángelo Martínez|Nélida López|Magali Alvarado|Jesse Borrego|Marita De Leon,Allison Anders,92,NA,generation x|hood|hispanic|lowrider
270,Warren Beatty|Annette Bening|Katharine Hepburn|Garry Shandling|Chloe Webb|Pierce Brosnan|Kate Capshaw|Paul Mazursky|Brenda Vaccaro|Glenn Shadix|Barry Miller|Harold Ramis|Linda Wallem|Meagen Fay|Ray Girardin,Glenn Gordon Caron,108,"$60,000,000",accident victim|disabled person|car accident|accident
271,Jessica Lange|Halle Berry|David Strathairn|Cuba Gooding Jr.|Daisy Eagan|Marc John Jefferies|Samuel L. Jackson|Joie Lee|Regina Taylor|LaTanya Richardson Jackson|Jacqueline Brookes|Donovon Ian H. McKnight|Rikkia A. Smith|Paulette McDaniels|Velma Austin,Seth Margolis,111,"$17,000,000",baby|custody battle|social worker|cartoon on tv
272,Rupert Graves|Helen Mirren|Amanda Donohoe|Charlotte Curley|Peter Bride-Kirk|Eve Camden|Thomas Copeland|Joanna Hall|Cassandra Halliburton|Russell Martin|Natalie Palys|Rupert Everett|Julian Rhind-Tutt|David Leon|Martin Julier,Alan Bennett,110,"$65,897,768",porphyria|king of england|restraint|self destructiveness
273,Robert De Niro|Kenneth Branagh|Tom Hulce|Helena Bonham Carter|Aidan Quinn|Ian Holm|Richard Briers|John Cleese|Robert Hardy|Cherie Lunghi|Celia Imrie|Trevyn McDowell|Gerard Horan|Mark Hadfield|Joanna Roth,Mary Shelley,123,"$45,000,000",frankenstein's monster|remake|elizabeth frankenstein character|doctor victor frankenstein character
274,Chevy Chase|Farrah Fawcett|Jonathan Taylor Thomas|George Wendt|David Shiner|Art LaFleur|Richard Portnow|Richard Foronjy|Peter Appel|Chief Leonard George|George Greif|Ron Canada|Christopher Miranda|Zachary Browne|Spencer Vrooman,David E. Peckinpah,96,NA,gangster|threat|divorcee|single mother
275,Steve Martin|Madeline Kahn|Robert Klein|Anthony LaPaglia|Juliette Lewis|Rob Reiner|Adam Sandler|Liev Schreiber|Rita Wilson|Parker Posey|Jon Stewart|Joely Fisher|Steven Randazzo|Christine Cavanaugh|Henry Brown,Nora Ephron,97,"$15,000,000",farce|christmas|veterinarian|christmas eve
276,Melanie Griffith|Ed Harris|Michael Patrick Carter|Malcolm McDowell|Anne Heche|Casey Siemaszko|Philip Bosco|Brian Christopher|Adam LaVorgna|Kevin Scannell|Jessica Wesson|Amanda Sharkey|Margaret Nagle|Katie Powell|Tom Coop,John Mattson,110,NA,blonde|boy|school|classroom
277,Richard Attenborough|Elizabeth Perkins|Dylan McDermott|J.T. Walsh|James Remar|Jane Leeves|Simon Jones|William Windom|Mara Wilson|Robert Prosky|Kathrine Narducci|Mary McCormack|Alvin Greenman|Allison Janney|Greg Noonan,Valentine Davies,114,NA,santa claus|girl|remake|parade
278,Sarah Jessica Parker|Gil Bellows|Antonio Banderas|Mia Farrow|Paul Mazursky|Kevin Pollak|Barbara Garrick|Carla Gugino|Bo Eason|Naomi Campbell|Jeremy Piven|Kelly Bishop|Mark Blum|Norman Steinberg|Ben Stein,David Frankel,95,NA,mother daughter relationship|fiance fiancee relationship|dysfunctional marriage|wedding
279,Edward James Olmos|Rafael Cortes|Ivette Reina|Amelia Zapata|Jacob Vargas|Emilio Del Haro|Abel Woolrich|León Singer|Rosalee Mayeux|Jennifer Lopez|Alicia del Lago|Thomas Rosales Jr.|Anthony Gonzalez|Michael Gonzalez|Esai Morales,Gregory Nava,128,"$5,500,000",f rated|prison|hood|marriage
280,Christian Slater|Kevin Bacon|Gary Oldman|Embeth Davidtz|William H. Macy|Stephen Tobolowsky|Brad Dourif|R. Lee Ermey|Mia Kirshner|Ben Slack|Stefan Gierasch|Kyra Sedgwick|Alex Bookston|Richie Allan|Herb Ritts,Dan Gordon,122,NA,alcatraz|solitary confinement|prison|rookie
281,Paul Newman|Jessica Tandy|Bruce Willis|Melanie Griffith|Dylan Walsh|Pruitt Taylor Vince|Gene Saks|Josef Sommer|Philip Seymour Hoffman|Philip Bosco|Catherine Dent|Alexander Goodwin|Carl J. Matusovich|Jay Patterson|Jerry Mayer,Richard Russo,110,"$20,000,000",grandfather grandson relationship|father son relationship|small town|independent film
282,Jodie Foster|Liam Neeson|Natasha Richardson|Richard Libertini|Nick Searcy|Robin Mullins|Jeremy Davies|O'Neal Compton|Heather M. Bomba|Marianne E. Bomba|Sean Bridgers|Joe Inscoe|Stephanie Dawn Wood|Mary Lynn Riner|Lucile McIntyre,Mark Handley,112,"$31,000,000",twins|f rated|character name as title|speech
283,Shar-Ron Corley|Gabriel Casseus|Saul Stein|Gwen McGee|Andre Moore|Donald Faison|Conrad Meertins Jr.|Devin Eggleston|Koran C. Thomas|Michele Morgan|Samantha Brown|Christine Baranski|Robert Jason Jackson|Roscoe Orman|Heavy D,Nick Gomez,98,"$5,000,000",police|state name in title|brutality|killing
284,Tôru Nakamura|Chad McQueen|Mira Sorvino|Conan Lee|Andreas Katsulas|Tony Sirico|Manny Perez|Jon Seda|Manny Siverio|Larry Romano|Laurence Mason|Eric Lutes|Vito Antuofermo|Suzanne Tino|Christine Romeo,Tôru Murakawa,88,NA,undercover cop|scene before opening credits|nypd|begins with death
285,Craig Fairbrass|Elizabeth Hurley|Keith Allen|Anita Dobson|Jesse Birdsall|Craig Kelly|Faith Kent|Georgina Hale|Samantha Spiro|Steven Brand|Zoe Heyes|Annette Badland|Natasha Humphrey|Jack McKenzie|Christopher Adamson,Vadim Jean,89,"GBP3,000,000",drug|suicide|hallucination|serial killer
286,Sue Price|Chad Stahelski|Tina Cote|Earl White|Jahi J.J. Zuri|Karen Studer|Shelton Baily|Donya Dinnah|Jon H. Epstein|Sharon Bruneau|Debbie Muggli|Zachary Studer|Dave Fisher|Bobby Brown|Cinque Glendy,Albert Pyun,83,NA,explosion|baby|shot to death|assassin
287,Laura San Giacomo|Paul Rhys|Michael O'Keefe|Cristi Conaway|Fisher Stevens|Alan Lightner|Vincent Lars|Carter Collins|Michelle Koeppe|Marianna Åström-De Fina,Alan Jacobs,100,NA,woman wears only a man's shirt|love|infidelity|sex
288,Woody Harrelson|Juliette Lewis|Tom Sizemore|Rodney Dangerfield|Everett Quinton|Jared Harris|Pruitt Taylor Vince|Edie McClurg|Russell Means|Lanny Flaherty|O-Lan Jones|Robert Downey Jr.|Richard Lineback|Kirk Baltz|Ed White,Quentin Tarantino,118,"$34,000,000",media|satire|controversy|woman on top
289,Marisa Tomei|Robert Downey Jr.|Bonnie Hunt|Joaquim de Almeida|Fisher Stevens|Billy Zane|Adam LeFevre|John Benjamin Hickey|Siobhan Fallon Hogan|Antonia Rey|Phyllis Newman|Denise Du Maurier|Tammy Minoff|Harry Barandes|Jessica Hertel,Diane Drake,109,NA,italy|sister in law|trip|soul mate
290,Rena Owen|Temuera Morrison|Mamaengaroa Kerr-Bell|Julian Arahanga|Taungaroa Emile|Rachael Morris Jr.|Joseph Kairau|Cliff Curtis|Pete Smith|George Henare|Mere Boynton|Shannon Williams|Calvin Tuteao|Ray Bishop|Ian Mune,Riwia Brown,102,NA,f rated|new zealand|maori|gang
291,Alyssa Milano|Johnathon Schaech|Xander Berkeley|Belinda Bauer|Camilla Belle|Kathryne Dora Brown|Walter Kim|Victoria Haas|Tara Ellison|Mychal Wilson|Joey Krees|Kate Rodger|Howard Brown,Chloe King,106,NA,film starts with sex|diary|art student|lust
292,Dustin Hoffman|Rene Russo|Morgan Freeman|Kevin Spacey|Cuba Gooding Jr.|Donald Sutherland|Patrick Dempsey|Zakes Mokae|Malick Bowens|Susan Lee Hoffman|Benito Martinez|Bruce Jarchow|Leland Hayward III|Daniel Chodos|Dale Dye,Laurence Dworet,127,"$50,000,000",virus|epidemic|monkey|disease
293,Jean Reno|Gary Oldman|Natalie Portman|Danny Aiello|Peter Appel|Willi One Blood|Don Creech|Keith A. Glascoe|Randolph Scott|Michael Badalucco|Ellen Greene|Elizabeth Regen|Carl J. Matusovich|Frank Senger|Lucius Wyatt Cherokee,Luc Besson,110,"FRF115,000,000",hitman|girl|teenage girl|neo noir
294,Marisa Tomei|Alfred Molina|Anjelica Huston|Chazz Palminteri|Trini Alvarado|Celia Cruz|Ranjit Chowdhry|Diego Wallraff|Ellen Cleghorne|Angela Lanza|Jose Felipe Padron|Lázaro Pérez|Bill Sage|Vincent Gallo|Billy Hopkins,Mira Nair,NA,"$11,000,000",family character name as title|political prisoner|love|immigration
295,William Baldwin|John Leguizamo|Sadie Frost|Erika Eleniak|Michael Lerner|Joan Plowright|Armin Mueller-Stahl|Mike Starr|Julio Oscar Mechoso|Floyd Vivino|Babs Chula|Tony Perri|Randy Butcher|Lesley Kelly|Jennifer Rolin,Joshua Brand,94,NA,
296,Tim Roth|Amanda Plummer|Laura Lovelace|John Travolta|Samuel L. Jackson|Phil LaMarr|Frank Whaley|Burr Steers|Bruce Willis|Ving Rhames|Paul Calderon|Bronagh Gallagher|Rosanna Arquette|Eric Stoltz|Uma Thurman,Quentin Tarantino,154,"$8,000,000",nonlinear timeline|overdose|drug overdose|bondage
297,Kadeem Hardison|Bokeem Woodbine|Joe Don Baker|Courtney B. Vance|Tyrin Turner|Marcus Chong|Anthony Griffith|Bobby Brown|Angela Bassett|Nefertiti|James Russo|Jenifer Lewis|Chris Rock|Roger Guenveur Smith|Michael Wincott,Melvin Van Peebles,NA,NA,black panthers|black panther party|racial prejudice|civil rights
298,Sihung Lung|Lai Wang|Bozhao Wang|Deb Snyder|Fanny De Luz|Haan Lee|Hung-Chang Wang|Jeanne Kuo Chang|James Lou|B.C. Lee|Chit-Man Chan|Victor Chan|Bin Chao|Audrey Haight|Jackson King,Ang Lee,105,"$400,000",tai chi|boy|chinese restaurant|ancestry
299,Linus Roache|Tom Wilkinson|Robert Carlyle|Cathy Tyson|Lesley Sharp|Robert Pugh|James Ellis|Christine Tremarco|Paul Barber|Rio Fanning|Jim R. Coleman|Bill Dean|Gilly Coman|Fred Pearson|Jimmy Gallagher,Jimmy McGovern,105,NA,church|catholic priest|homosexual|sexual repression
300,John Turturro|Rob Morrow|Ralph Fiennes|Paul Scofield|David Paymer|Hank Azaria|Christopher McDonald|Johann Carlo|Elizabeth Wilson|Allan Rich|Mira Sorvino|George Martin|Paul Guilfoyle|Griffin Dunne|Michael Mantell,Paul Attanasio,133,"$31,000,000",based on true story|investigation|fraud|television
301,Yûki Kudô|Cary-Hiroyuki Tagawa|Tamlyn Tomita|Akira Takayama|Yôko Sugi|Christianne Mays|Toshirô Mifune|Michael Ashby|James Grant Benton|Glenn Cannon|Lito Capiña|Peter Clark|Warren Fabro|Michael Hasegawa|Kyle Kakuno,Kayo Hatta,94,NA,hawaii|f rated|japanese in hawaii|death
302,Isabelle Adjani|Daniel Auteuil|Jean-Hugues Anglade|Vincent Perez|Virna Lisi|Dominique Blanc|Pascal Greggory|Claudio Amendola|Miguel Bosé|Asia Argento|Julien Rassam|Thomas Kretschmann|Jean-Claude Brialy|Jean-Philippe Écoffey|Albano Guaetta,Alexandre Dumas,159,"DEM42,000,000",france|french history|protestant|massacre
303,Sharon Stone|Gene Hackman|Russell Crowe|Leonardo DiCaprio|Tobin Bell|Roberts Blossom|Kevin Conway|Keith David|Lance Henriksen|Pat Hingle|Gary Sinise|Mark Boone Junior|Olivia Burnette|Fay Masterson|Raynor Scheine,Simon Moore,107,"$32,000,000",female gunfighter|arizona|street shootout|showdown
304,Peter Falk|D.B. Sweeney|Julianne Moore|Ellen Burstyn|Jan Rubes|Joyce Reehling|Ernie Sabella|John Cunningham|Noah Fleiss|Lisa Davis|Rohn Thomas|Karl Mackey|Zygmund Szarnicki|Lee Alan McConnell|David Cutter,Max Apple,108,"$22,000,000",grandfather|doctor|roommate|social worker
305,Marcello Mastroianni|Sophia Loren|Jean-Pierre Cassel|Kim Basinger|Chiara Mastroianni|Stephen Rea|Anouk Aimée|Rupert Everett|Rossy de Palma|Tara Leon|Georgianna Robertson|Lili Taylor|Ute Lemper|Forest Whitaker|Tom Novembre,Robert Altman,133,"$18,000,000",fashion|fashion show|journalist|fashion industry
306,Irène Jacob|Jean-Louis Trintignant|Frédérique Feder|Jean-Pierre Lorit|Samuel Le Bihan|Marion Stalens|Teco Celio|Bernard Escalon|Jean Schlegel|Elzbieta Jasinska|Paul Vermeulen|Jean-Marie Daunas|Roland Carey|Brigitte Raul|Leo Ramseyer,Krzysztof Kieslowski,99,NA,friendship|ex judge|eavesdropping|judge
307,Juliette Binoche|Benoît Régent|Florence Pernel|Charlotte Véry|Hélène Vincent|Philippe Volter|Claude Duneton|Hugues Quester|Emmanuelle Riva|Florence Vignon|Daniel Martin|Jacek Ostaszewski|Catherine Therouenne|Yann Trégouët|Alain Ollivier,Krzysztof Kieslowski,94,NA,liberty|first part of trilogy|trauma|telling a joke
308,Zbigniew Zamachowski|Julie Delpy|Janusz Gajos|Jerzy Stuhr|Aleksander Bardini|Grzegorz Warchol|Cezary Harasimowicz|Jerzy Nowak|Jerzy Trela|Cezary Pazura|Michel Lisowski|Philippe Morier-Genoud|Piotr Machalica|Francis Coffinet|Barbara Dziekan,Krzysztof Kieslowski,92,NA,marriage|obsession|divorce|wealth
309,Jing Ning|Gang Wu|Xiaorui Zhao|Yang Gao|Zhengyun Xu|Liang Zhao|Xingmao Ju|Yusheng Li|Lu Hui|Liyuan Wang|Bolin Zhang,Ping He,NA,NA,painter|fireworks|yellow river|teenage girl
310,Leslie Nielsen|Christopher Lloyd|Matt McCoy|Sherry Miller|Amos Crawley|Cody Jones|Tabitha Lupien|Tony Rosato|Lisa LaCroix|Kevin Hicks|Tannis Burnett|Edward Heeley|Judah Katz|Ellen-Ray Hennessy|Michael Anderson Jr.,Paul Bernbaum,85,NA,nightmare|orphanage|family relationships|orphan
311,Darlanne Fluegel|Martin Neufeld|James Brolin|Denise Crosby|M. Emmet Walsh|Matthew Dupuis|Bruce Dinsmore|Linda Sorensen|Jason Blicker|Liz MacRae|Vlasta Vrana|Michael Caloz|Gisèle Rousseau|Jenny Campbell|Alan West,Kurt Wimmer,NA,"CAD2,500,000",killer child|psychological|death|two word title
312,Al Franken|Laura San Giacomo|Vincent D'Onofrio|Shirley Knight|Harris Yulin|Lesley Boone|John Graney|Marjorie Lovett|Walter Robles|Erik Cord|Denver Mattson|Grant Hoover|Cory Milano|Michelle Horn|Harris Laskawy,Al Franken,NA,NA,public access|dysfunctional family|avanti|hunting
313,Jack Palance|Howard McGillin|Michelle Nicastro|Liz Callaway|John Cleese|Steven Wright|Steve Vinovich|Mark Harelik|James Arrington|Davis Gaines|Joel McKinnon Miller|Dakin Matthews|Sandy Duncan|Brian Nissen|Adam Wylie,Richard Rich,93,"$45,000,000",princess|sorcerer|prince|king
314,Jeni Courtney|Pat Slowey|Dave Duffy|Declan Hannigan|Mairéad Ní Ghallchóir|Eugene McHugh|Tony Rubini|Mick Lally|Eileen Colgan|Richard Sheridan|Micheal MacCarthaigh|Fergal McElherron|Brendan Conroy|John Lynch|Frankie McCafferty,Rosalie K. Fry,103,"$3,000,000",mermaid|ireland|based on book|f rated
315,Sylvester Stallone|Sharon Stone|James Woods|Rod Steiger|Eric Roberts|Mario Ernesto Sánchez|Sergio Doré Jr.|Chase Randolph|Jeana Bell|Brittany Paige Bouck|Emilio Estefan Jr.|LaGaylia Frazier|Ramón González Cuevas|Tony Munafo|Cheito Quinonez,John Shirley,110,"$45,000,000",bare breasts|bomb|sex scene|sex in shower
316,Kurt Russell|James Spader|Jaye Davidson|Viveca Lindfors|Alexis Cruz|Mili Avital|Leon Rippy|John Diehl|Carlos Lauchu|Djimon Hounsou|Erick Avari|French Stewart|Gianin Loffler|Christopher John Fields|Derek Webster,Dean Devlin,116,"$55,000,000",portal|hieroglyph|archeology|stargate
317,Tim Allen|Judge Reinhold|Wendy Crewson|Eric Lloyd|David Krumholtz|Larry Brandenburg|Mary Gross|Paige Tamada|Peter Boyle|Judith Scott|Jayne Eastwood|Melissa King|Bradley Wentworth|Azura Bates|Joshua Satok,Leo Benvenuti,97,"$22,000,000",santa claus character|christmas eve|word play in title|gaining weight
318,Tim Robbins|Morgan Freeman|Bob Gunton|William Sadler|Clancy Brown|Gil Bellows|Mark Rolston|James Whitmore|Jeffrey DeMunn|Larry Brandenburg|Neil Giuntoli|Brian Libby|David Proval|Joseph Ragno|Jude Ciccolella,Stephen King,142,"$25,000,000",wrongful imprisonment|based on the works of stephen king|prison|escape from prison
